r,lambda
2.5,-0.6931471805599252
2.5018773466833544,-0.6893995184597084
2.5037546933667083,-0.6856658489076605
2.5056320400500627,-0.6819460678051358
2.5075093867334166,-0.6782400722107982
2.509386733416771,-0.6745477603236693
2.5112640801001254,-0.6708690314662026
2.5131414267834793,-0.6672037860679353
2.5150187734668337,-0.6635519256491381
2.5168961201501876,-0.6599133528052353
2.518773466833542,-0.6562879711909407
2.520650813516896,-0.6526756855049964
2.5225281602002503,-0.6490764014753567
2.5244055068836047,-0.6454900258441202
2.5262828535669586,-0.6419164663532588
2.528160200250313,-0.6383556317302633
2.530037546933667,-0.6348074316741739
2.5319148936170213,-0.631271776841875
2.5337922403003756,-0.6277485788345234
2.5356695869837296,-0.6242377501844951
2.537546933667084,-0.6207392043419603
2.539424280350438,-0.6172528556625163
2.5413016270337923,-0.6137786193943386
2.5431789737171466,-0.6103164116658577
2.5450563204005006,-0.6068661494737171
2.546933667083855,-0.6034277506706778
2.548811013767209,-0.6000011339540378
2.5506883604505632,-0.5965862188539779
2.552565707133917,-0.5931829257222443
2.5544430538172715,-0.5897911757211488
2.556320400500626,-0.5864108908123169
2.55819774718398,-0.5830419937462101
2.5600750938673342,-0.5796844080513602
2.561952440550688,-0.5763380580240208
2.5638297872340425,-0.5730028687178939
2.565707133917397,-0.569678765934043
2.567584480600751,-0.5663656762110757
2.569461827284105,-0.5630635268153154
2.571339173967459,-0.5597722457312454
2.5732165206508135,-0.5564917616520777
2.575093867334168,-0.5532220039705262
2.576971214017522,-0.5499629027696161
2.578848560700876,-0.5467143888137919
2.58072590738423,-0.5434763935400126
2.5826032540675845,-0.540248849049144
2.584480600750939,-0.5370316880973838
2.586357947434293,-0.5338248440878026
2.588235294117647,-0.5306282510621688
2.590112640801001,-0.5274418436927573
2.5919899874843555,-0.5242655572743522
2.5938673341677094,-0.5210993277162967
2.595744680851064,-0.5179430915348584
2.597622027534418,-0.5147967858454889
2.599499374217772,-0.5116603483553517
2.6013767209011265,-0.5085337173559307
2.6032540675844804,-0.5054168317156702
2.605131414267835,-0.5023096308729127
2.607008760951189,-0.49921205482879194
2.608886107634543,-0.49612404414021377
2.6107634543178975,-0.4930455399131288
2.6126408010012514,-0.48997648379570696
2.6145181476846058,-0.48691681797174863
2.61639549436796,-0.4838664851541314
2.618272841051314,-0.4808254285783398
2.6201501877346685,-0.47779359199622207
2.6220275344180224,-0.47477091966964535
2.6239048811013768,-0.4717573563643787
2.6257822277847307,-0.4687528473440844
2.627659574468085,-0.46575733836428174
2.6295369211514394,-0.46277077566652547
2.6314142678347934,-0.4597931059726084
2.6332916145181477,-0.45682427647880824
2.6351689612015017,-0.4538642348503442
2.637046307884856,-0.45091292921574755
2.6389236545682104,-0.447970308161543
2.6408010012515644,-0.4450363207267747
2.6426783479349187,-0.4421109163976639
2.6445556946182727,-0.43919404510252613
2.646433041301627,-0.4362856572065677
2.6483103879849814,-0.43338570350680156
2.6501877346683353,-0.4304941352269833
2.6520650813516897,-0.42761090401290847
2.6539424280350437,-0.42473596192730045
2.655819774718398,-0.4218692614452371
2.6576971214017524,-0.41901075544927524
2.6595744680851063,-0.4161603972249171
2.6614518147684607,-0.4133181404559879
2.6633291614518146,-0.41048393922011245
2.665206508135169,-0.40765774798427384
2.667083854818523,-0.4048395216004252
2.6689612015018773,-0.40202921530118074
2.6708385481852317,-0.3992267846954823
2.6727158948685856,-0.3964321857644643
2.67459324155194,-0.3936453748572726
2.676470588235294,-0.39086630868700944
2.6783479349186483,-0.3880949443266226
2.6802252816020027,-0.3853312392050148
2.6821026282853566,-0.38257515110302703
2.683979974968711,-0.379826638149678
2.685857321652065,-0.3770856588182596
2.6877346683354193,-0.3743521719226083
2.6896120150187732,-0.3716261366133683
2.6914893617021276,-0.36890751237437575
2.693366708385482,-0.36619625901898556
2.695244055068836,-0.3634923366865905
2.6971214017521903,-0.3607957058389948
2.698998748435544,-0.3581063272570191
2.7008760951188986,-0.3554241620370815
2.702753441802253,-0.35274917158778457
2.704630788485607,-0.3500813176265785
2.7065081351689613,-0.3474205621765641
2.708385481852315,-0.3447668675630839
2.7102628285356696,-0.34212019641070757
2.712140175219024,-0.33948051163993676
2.714017521902378,-0.3368477764641407
2.7158948685857323,-0.3342219543864688
2.717772215269086,-0.33160300919684377
2.7196495619524406,-0.32899090496891964
2.721526908635795,-0.32638560605715855
2.723404255319149,-0.3237870770938969
2.7252816020025032,-0.3211952829864755
2.727158948685857,-0.31861018891436294
2.7290362953692116,-0.3160317603264234
2.730913642052566,-0.3134599629380521
2.73279098873592,-0.3108947627284989
2.7346683354192742,-0.30833612593818205
2.736545682102628,-0.30578401906594077
2.7384230287859825,-0.3032384088665069
2.7403003754693365,-0.300699262347838
2.742177722152691,-0.2981665467685466
2.744055068836045,-0.29564022963543835
2.745932415519399,-0.2931202787009293
2.7478097622027535,-0.2906066619606079
2.7496871088861075,-0.2880993476508188
2.751564455569462,-0.28559830424624283
2.753441802252816,-0.28310350045745664
2.75531914893617,-0.2806149052286904
2.7571964956195245,-0.2781324877354336
2.7590738423028784,-0.27565621738216617
2.760951188986233,-0.2731860638001019
2.7628285356695867,-0.2707219968449451
2.764705882352941,-0.26826398659467926
2.7665832290362955,-0.265812003347395
2.7684605757196494,-0.2633660176191309
2.770337922403004,-0.26092600014176864
2.7722152690863577,-0.25849192186088515
2.774092615769712,-0.2560637539337392
2.7759699624530665,-0.2536414677271401
2.7778473091364204,-0.2512250348155096
2.779724655819775,-0.2488144269788162
2.7816020025031287,-0.24640961620064644
2.783479349186483,-0.24401057466616916
2.7853566958698375,-0.24161727476033454
2.7872340425531914,-0.2392296890658368
2.789111389236546,-0.2368477903613046
2.7909887359198997,-0.23447155161941532
2.792866082603254,-0.2321009460050828
2.7947434292866085,-0.22973594687357837
2.7966207759699624,-0.22737652776881737
2.7984981226533168,-0.22502266242148286
2.8003754693366707,-0.22267432474737556
2.802252816020025,-0.22033148884560277
2.8041301627033794,-0.217994128996903
2.8060075093867334,-0.2156622196619151
2.8078848560700878,-0.21333573547957513
2.8097622027534417,-0.211014651265373
2.811639549436796,-0.20869894200978215
2.81351689612015,-0.20638858287659537
2.8153942428035044,-0.204083549201379
2.8172715894868587,-0.20178381648984023
2.8191489361702127,-0.1994893604163221
2.821026282853567,-0.19720015682218942
2.822903629536921,-0.1949161817143517
2.8247809762202754,-0.1926374112637706
2.8266583229036293,-0.1903638218038918
2.8285356695869837,-0.18809538982926838
2.830413016270338,-0.18583209199400844
2.832290362953692,-0.1835739051104212
2.8341677096370463,-0.18132080614751095
2.8360450563204003,-0.17907277222963078
2.8379224030037546,-0.1768297806350463
2.839799749687109,-0.17459180879458983
2.841677096370463,-0.17235883429028437
2.8435544430538173,-0.1701308348539705
2.8454317897371713,-0.16790778836602188
2.8473091364205256,-0.1656896728540004
2.84918648310388,-0.1634764664913476
2.851063829787234,-0.16126814759612437
2.8529411764705883,-0.15906469462968548
2.8548185231539422,-0.15686608619548748
2.8566958698372966,-0.15467230103777277
2.858573216520651,-0.1524833180403916
2.860450563204005,-0.15029911622554518
2.8623279098873593,-0.14811967475261706
2.8642052565707132,-0.14594497291693095
2.8660826032540676,-0.143774990148608
2.867959949937422,-0.14160970601139153
2.869837296620776,-0.13944910020148368
2.8717146433041303,-0.13729315254641442
2.873591989987484,-0.13514184300390578
