epsilon,method,precision,recall,f1
0.0,z,0.0,0.0,0.0
0.0,z_robust,0.0,0.0,0.0
0.0,iqr,0.0,0.0,0.0
0.02,z,1.0,1.0,1.0
0.02,z_robust,1.0,1.0,1.0
0.02,iqr,0.7142857142857143,1.0,0.8333333333333333
0.05,z,1.0,0.78,0.8764044943820225
0.05,z_robust,1.0,0.98,0.98989898989899
0.05,iqr,0.9615384615384616,1.0,0.9803921568627451
0.1,z,1.0,0.24,0.3870967741935484
0.1,z_robust,0.9891304347826086,0.91,0.9479166666666667
0.1,iqr,0.9607843137254902,0.98,0.9702970297029702
0.15,z,1.0,0.013333333333333334,0.02631578947368421
0.15,z_robust,1.0,0.92,0.9583333333333334
0.15,iqr,1.0,0.98,0.98989898989899
0.2,z,1.0,0.01,0.019801980198019802
0.2,z_robust,1.0,0.745,0.8538681948424068
0.2,iqr,0.9945652173913043,0.915,0.953125
0.3,z,0.0,0.0,0.0
0.3,z_robust,1.0,0.22666666666666666,0.3695652173913044
0.3,iqr,0.0,0.0,0.0
